year,quarter,market,dur_stay,mode,purpose,area,Visits (000s),Spend,Nights (000s),sample
2010,January-March,USA,1-3  nights,Air,Holiday, LONDON,20.17124435,8.07316855,46.90082479,52
2010,January-March,USA,1-3  nights,Air,Business, LONDON,40.81542479,31.36239406,83.77576065,119
2010,January-March,USA,1-3  nights,Air,VFR, LONDON,10.01264773,5.068983433,23.77863885,28
2010,January-March,USA,1-3  nights,Air,Miscellaneous, LONDON,34.0325011,5.605251606,42.16688257,81
2010,January-March,USA,1-3  nights,Sea,Holiday, LONDON,5.276275635,0.567199638,11.43193054,6
2010,January-March,USA,1-3  nights,Tunnel,Holiday, LONDON,2.753881931,0.517943665,6.346332073,2
2010,January-March,USA,1-3  nights,Tunnel,Business, LONDON,1.374612212,0.322146773,1.23063755,1
2010,January-March,USA,1-3  nights,Tunnel,VFR, LONDON,1.16666007,0,3.49998045,1
2010,January-March,USA,4-7  nights,Air,Holiday, LONDON,42.97426949,34.92301091,223.5714075,104
2010,January-March,USA,4-7  nights,Air,Business, LONDON,41.11547318,48.31686992,188.927713,113
2010,January-March,USA,4-7  nights,Air,VFR, LONDON,22.86416045,9.069304393,112.4875739,65
2010,January-March,USA,4-7  nights,Air,Study, LONDON,0.456849188,0.271333486,1.370547533,1
2010,January-March,USA,4-7  nights,Air,Miscellaneous, LONDON,3.364862755,3.662151256,15.30247402,9
2010,January-March,USA,4-7  nights,Sea,Holiday, LONDON,2.457184315,0.143618599,11.01612091,1
2010,January-March,USA,4-7  nights,Sea,Business, LONDON,1.036124825,0.805976748,2.782808304,1
2010,January-March,USA,4-7  nights,Tunnel,Holiday, LONDON,4.341103792,1.682614058,17.21870708,3
2010,January-March,USA,4-7  nights,Tunnel,Business, LONDON,2.749224424,3.975265861,11.07573795,2
2010,January-March,USA,8-14 nights,Air,Holiday, LONDON,13.03157444,9.003522388,111.4529964,36
2010,January-March,USA,8-14 nights,Air,Business, LONDON,9.568030059,13.55331433,86.29619801,28
2010,January-March,USA,8-14 nights,Air,VFR, LONDON,22.6895718,12.61962618,172.2356159,57
2010,January-March,USA,8-14 nights,Air,Study, LONDON,0.451066762,0.051872678,4.05960083,1
2010,January-March,USA,8-14 nights,Air,Miscellaneous, LONDON,0.256760657,0.257404953,2.821275234,1
2010,January-March,USA,15+  nights,Air,Holiday, LONDON,4.799494013,4.269025054,78.462502,13
2010,January-March,USA,15+  nights,Air,Business, LONDON,3.38546516,6.003551938,61.77650833,8
2010,January-March,USA,15+  nights,Air,VFR, LONDON,10.39879654,4.466459326,224.7162607,30
2010,January-March,USA,15+  nights,Air,Study, LONDON,1.993759453,8.292587206,75.1190002,5
